Users,data,tweet
@AFP,2020-04-09 16:23:34+00:00,"RT @AFP_Sport: The Tour de France is racing against time to host this year's event, and losing  More here:   📷 @AFPp…"
@AFP,2020-04-09 16:00:01+00:00,VIDEO: 🇨🇴 Colombian policemen give #Zumba fitness classes in neighbourhoods of Bogotá to encourage and entertain residents stuck at home over #coronavirus fears 
@AFP,2020-04-09 15:56:24+00:00,#BREAKING New single-day record for New York #coronavirus deaths but hospitalizations fall: governor Cuomo 
@AFP,2020-04-09 15:50:13+00:00,#BREAKING France expects GDP to plunge six percent this year due to #coronavirus: finance minister 
@AFP,2020-04-09 15:48:00+00:00,"#UPDATE World powers scrambled on Thursday to build a global response to the human tragedy and once-in-a-century economic collapse caused by the #coronavirus pandemic, as death tolls in the US and Europe soared even as Spain's daily fatalities fell to 683  "
@AFP,2020-04-09 15:38:00+00:00,"#UPDATE The Saudi-led coalition began a unilateral ceasefire in #Yemen's long war on Thursday, saying it hoped the initiative to prevent #coronavirus in the impoverished country would lead to a wider political solution  "
@AFP,2020-04-09 15:34:50+00:00,"RT @AFPphoto: #Coronavirus #COVID19 #USA  As virus batters government, US mutual aid groups step up   📸 Nicholas Kam…"
@AFP,2020-04-09 15:18:06+00:00,#BREAKING World oil prices jump as OPEC+ meeting starts amid collapse in demand due to the #coronavirus and Saudi-Russian price war 
@AFP,2020-04-09 15:11:22+00:00,"RT @AFPFactCheck: 🇪🇸 Video shows first Islamic call to prayer in Spain in 500 years?   No, this video was filmed in Azerbaijan 🇦🇿 in Novemb…"
@AFP,2020-04-09 15:00:01+00:00,"VIDEO: 🇸🇦 Drone images show deserted roads in the holy Saudi city of #Mecca during the #coronavirus pandemic. The country's health minister has warned of a huge spike in coronavirus cases of up to 200,000 within weeks, state media reported. "
@AFP,2020-04-09 14:30:00+00:00,"VIDEO: 🇬🇷 A network of volunteers dedicated to reducing stray cat overpopulation in Athens, Nine Lives Greece, says that because of the #coronavirus quarantine they have a ""heavier load"" "
@AFP,2020-04-09 14:15:26+00:00,"#BREAKING Canada projects #coronavirus could kill 11,000 to 22,000 people "
@AFP,2020-04-09 14:08:01+00:00,"#BREAKING US facing ""truly rare"" economic crisis, but should see solid recovery once pandemic has passed: Fed chair Powell "
@AFP,2020-04-09 13:55:38+00:00,"VIDEO: 🇺🇸 ""We anticipate the worst economic fallout since the Great Depression,"" #IMF chief Kristalina #Georgieva says in a speech previewing next week's spring meetings of the IMF and World Bank amid the #coronavirus pandemic "
@AFP,2020-04-09 13:43:50+00:00,#BREAKING 52 Chadian troops killed fighting Boko Haram jihadists: army 
@AFP,2020-04-09 13:42:47+00:00,#BREAKING One hundred Italian doctors have died of #coronavirus during pandemic: medics 
@AFP,2020-04-09 13:36:22+00:00,#BREAKING Syrian government slams 'misleading' OPCW chemical arms watchdog report into 2017 attacks 
@AFP,2020-04-09 13:32:13+00:00,#BREAKING Canada jobless rate surged to 7.8% in March due to pandemic 
@AFP,2020-04-09 13:30:22+00:00,#BREAKING Another 6.6 million US workers file for unemployment benefits last week 
@AFP,2020-04-09 13:29:24+00:00,#BREAKING Federal Reserve launches $2.3 trillion financing to support US economy during #coronavirus pandemic 
@AFP,2020-04-09 13:27:04+00:00,#UPDATE Italian PM Giuseppe #Conte warned on Thursday that the European integration project was at risk of 'failure' if member states do not find an economic response to the #coronavirus crisis  
@AFP,2020-04-09 13:15:09+00:00,RT @AFPAfrica: African leaders have been the most vocal in defending the UN's World Health Organization after it was attacked by Donald Tru…
@AFP,2020-04-09 12:49:41+00:00,"VIDEO: 🇰🇿🇷🇺🇺🇸 A three-man crew blasted off towards the International Space Station (#ISS) at 08:05 GMT on Thursday from Russia's #Baikonur Cosmodrome in Kazakhstan, where #coronavirus has changed the pre-launch protocol "
@AFP,2020-04-09 12:30:46+00:00,"RT @AFPphoto: #Coronavirus #COVID19 #Indonesia  INDONESIA : Police officers wear superhero costume on the street in Pasuruan, East Java  📸J…"
@AFP,2020-04-09 12:13:53+00:00,#BREAKING World faces 'worst economic fallout since Great Depression': IMF chief Georgieva 
@AFP,2020-04-09 12:10:15+00:00,#BREAKING IMF chief warns 170 member countries to see drop in per capita income due to #coronavirus 
@AFP,2020-04-09 12:05:05+00:00,#BREAKING British PM Boris Johnson's health 'continues to improve': Downing Street 
@AFP,2020-04-09 11:59:12+00:00,RT @EUDataNewsHub: 🇪🇺💶 How are European nations helping the thousands of self-employed who have found themselves without work due to the #c…
@AFP,2020-04-09 11:45:00+00:00,"VIDEO: The postponement of the Tokyo 2020 Olympics was a heavy blow for many athletes, but a team of South Sudanese sprinters training in a Japanese town are hoping to turn the delay to their gain, taking advantage of training facilities that aren't available in their country "
@AFP,2020-04-09 11:44:01+00:00,RT @AFPAfrica: #BREAKING: World Bank says sub-Saharan Africa facing first recession in 25 years as a result of pandemic. @AFP
