Users,data,tweet
@Breakingviews,2020-04-09 16:04:56+00:00,RT @ReutersBiz: A @Breakingviews calculator shows the required oil outputs reductions are unprecedented. Run the numbers: 
@Breakingviews,2020-04-09 16:04:35+00:00,RT @ReutersBiz: From @Breakingviews: Mohammed bin Salman is channeling Warren Buffett in snapping up crisis-hit European oil stocks. @gfhay…
@Breakingviews,2020-04-09 14:08:12+00:00,"CEO pay sacrifices could use a pinch of altruism, says @aimeedonnellan:  "
@Breakingviews,2020-04-09 14:07:34+00:00,RT @Reuters: From @Breakingviews: Saudi Arabia’s crown prince Mohammed bin Salman is channelling his inner Warren Buffett in his swoop on b…
@Breakingviews,2020-04-09 13:22:15+00:00,RT @Reuters: From @Breakingviews: Women are saving millions of lives while exposing themselves to greater risk of COVID-19 infection. Guest…
@Breakingviews,2020-04-09 13:22:00+00:00,RT @ReutersBiz: From @Breakingviews: Latin America’s COVID-19 response is at risk from market failure. Read more pandemic-related financial…
@Breakingviews,2020-04-09 13:21:55+00:00,RT @Reuters: Poorer governments could find themselves out of luck when it comes to getting necessary medical supplies. More on Latin Americ…
@Breakingviews,2020-04-09 11:51:55+00:00,"UBS sets high-water mark for 2020 bank earnings, @LiamWardProud writes:  "
@Breakingviews,2020-04-09 11:21:13+00:00,"A @Breakingviews calculator shows the required oil outputs reductions are unprecedented. Ahead of the OPEC meeting, run the numbers:  @gfhay @ReutersFlasseur "
@Breakingviews,2020-04-09 11:06:36+00:00,"Exor chairman’s annual letter buries the lede on some of its virus efforts, but gets passing grade. Plus: Diageo, Fast Retailing. Check out Breakingviews' Corona Capital:  "
@Breakingviews,2020-04-09 11:05:44+00:00,"Saudi Arabia's crown prince is channelling his inner Warren Buffett. His swoop on bombed-out European oil companies like Shell carries similarities with a trademark move by the so-called Sage of Omaha. There are important differences, though. @gfhay says:  "
@Breakingviews,2020-04-09 10:50:40+00:00,RT @ReutersBiz: From @Breakingviews - The $5 billion Treasury Wine could spin off its prized Penfolds business. That should deliver a highe…
@Breakingviews,2020-04-09 10:50:10+00:00,"Catch up with Breakingviews' daily column of sharp pandemic-related insights: Exor's letter, Diageo's warning, Fast Retailing.  "
@Breakingviews,2020-04-09 10:43:33+00:00,"Failure to agree on oil output cuts could see supply bust through storage limits, sending prices below $20 a barrel. But, as a Breakingviews calculator shows, the required reductions are unprecedented. Run the numbers:  @gfhay @ReutersFlasseur "
@Breakingviews,2020-04-09 10:40:48+00:00,Plagues have always induced panicky responses. The key is to avoid innate cognitive flaws overwhelming better judgement. Edward Chancellor listed some psychological traps to avoid:  
@Breakingviews,2020-04-09 10:37:46+00:00,"Saudi Arabia's sovereign wealth fund looks to be ditching diversification by snapping up stakes in big European oil groups. Saudis’ Warren Buffett impression looks skin-deep, @gfhay says:  "
@Breakingviews,2020-04-09 09:52:24+00:00,"RT @sharonlamhk: National energy policy is what needs to be fixed, but this is a good target nonetheless. My latest column on Mizuho, dirty…"
@Breakingviews,2020-04-09 05:43:14+00:00,"An investor group is urging the $29 billion Mizuho to reduce lending for coal. With Japan in a state of coronavirus emergency, it’s an odd time to pick this battle. But activists have to start somewhere, writes @sharonlamhk:  "
@Breakingviews,2020-04-09 05:38:32+00:00,"The $5 billion Treasury Wine could spin off its prized Penfolds business. That should deliver a higher valuation for the upmarket label and separate it from a ragbag of other brands that need restructuring, writes @AlecMac11:  "
@Breakingviews,2020-04-09 04:17:23+00:00,"RT @edwardhadas: My latest: Call me a foolish optimist, but hear me out. The economic decline can be reversed about as quickly as public he…"
@Breakingviews,2020-04-09 04:15:46+00:00,RT @GinaChon: Amazon customers benefit from Jeff Bezos's innovative mind. @Breakingviews on why its workers need it too 
@Breakingviews,2020-04-09 04:15:37+00:00,RT @Reuters: From @Breakingviews: A bunch of top names in finance suffered heavy losses after China's Luckin Coffee said sales figures were…
@Breakingviews,2020-04-09 03:41:34+00:00,"Treasury Wine’s posh-plonk split calls for a toast, writes @AlecMac11:  "
@Breakingviews,2020-04-09 03:16:48+00:00,"Climate fight at Mizuho previews wider clash, writes @sharonlamhk:  "
@Breakingviews,2020-04-08 21:27:08+00:00,"Corona Capital latest: Six Latin American countries want a $15 billion loan to help fight Covid-19. But even if they access more cash, they’ll struggle to get needed medical supplies.  "
@Breakingviews,2020-04-08 21:16:45+00:00,"The Fed is easing its cap on Wells Fargo’s growth so the bank can funnel more rescue loans to small U.S. businesses. But there are plenty of other glitches to fix, writes @AntonyMCurrie.  "
@Breakingviews,2020-04-08 21:05:41+00:00,"The Exchange podcast: James Breiding, author of “Too Small to Fail,” discusses the ways in which smaller countries outperform larger ones, and why Covid-19 will likely show that bigger isn’t necessarily better. "
@Breakingviews,2020-04-08 20:58:08+00:00,"The coronavirus pandemic is disproportionately hurting women. Leaders can respond now to tackle the inequality, write guest columnists @phumzileunwomen and @gabramosp.  "
