Users,data,tweet
@Fxhedgers,2020-04-08 23:58:09+00:00,"U.S. GDP will contract 30% in second quarter, 5% in 2020: PIMCO "
@Fxhedgers,2020-04-08 23:55:57+00:00,"if they keep it closed for another 2 months, many small businesses will go bust"
@Fxhedgers,2020-04-08 23:50:44+00:00,SANTA CLARA COUNTY HEALTH OFFICIALS EXPECT THE CORONAVIRUS CURVE TO FLATTEN COMPLETELY BY THE END OF MAY - KTVU
@Fxhedgers,2020-04-08 23:45:39+00:00,JAPAN QUARTERLY GDP COULD FALL AS MUCH AS 10-20% PER QUARTER DUE TO COVID-19 OUTBREAK - BLOOMBERG
@Fxhedgers,2020-04-08 23:03:50+00:00,"AIRBNB SAYS IT WILL RESTRICT UK BOOKINGS ON ITS PLATFORM, ONLY STAYS FOR KEY WORKERS WILL BE ALLOWED"
@Fxhedgers,2020-04-08 22:49:20+00:00,RT @DavidInglesTV: Bloomberg Economics recession probability model is at 100% 
@Fxhedgers,2020-04-08 22:46:46+00:00,TRUMP SAYS HE DOESN’T HAVE ANY INVESTMENTS IN HYDROXYCHLOROQUINE
@Fxhedgers,2020-04-08 22:40:32+00:00,TRUMP SAYS U.S. PRODUCERS HAVE ALREADY CUT BACK OIL PRODUCTION
@Fxhedgers,2020-04-08 22:19:32+00:00,TRUMP SAYS HE WILL RELY VERY HEAVILY ON HEALTH EXPERTS FOR THAT DECISION naw he needs his hotels opened first
@Fxhedgers,2020-04-08 22:18:47+00:00,RT @bylenasun: Trump is now touting zinc in the fight against covid-19. While parts of the human immune system require vitamins and mineral…
@Fxhedgers,2020-04-08 22:17:43+00:00,TRUMP SAYS HE LEARNED ABOUT THE GRAVITY OF THE CORONAVIRUS SHORTLY BEFORE CLOSING OFF FLIGHTS FROM CHINA 15 to zero
@Fxhedgers,2020-04-08 22:16:12+00:00,"TRUMP SAYS  WE CAN DO PHASE 4 CORONAVIRUS RELIEF LEGISLATION LATER, WE DO NOT HAVE TIME FOR PARTISAN GAMES 🤡"
@Fxhedgers,2020-04-08 21:58:16+00:00,"POMPEO, ASKED ABOUT CONSEQUENCES FOR CHINA, SAYS THIS IS NOT THE TIME FOR RETRIBUTION 😀"
@Fxhedgers,2020-04-08 21:54:38+00:00,"RT @W7VOA: A member of the @WhiteHouse press corps who was there yesterday ""is being tested for coronavirus,"" according to @WHCA President…"
@Fxhedgers,2020-04-08 21:50:00+00:00,TRUMP SAYS WE ARE MUCH CLOSER TO GETTING OUR COUNTRY BACK TO WHERE IT WAS ..LIAR
@Fxhedgers,2020-04-08 21:48:35+00:00,"U.S. CORONAVIRUS DEATHS TOP 14,600, SECOND HIGHEST IN WORLD BEHIND ITALY -REUTERS TALLY Trump wants to open the economy up tomorrow though"
@Fxhedgers,2020-04-08 21:43:13+00:00,DISNEY PLUS SUBSCRIBERS SURPASS 50 MILLION - BLOOMBERG $DIS
@Fxhedgers,2020-04-08 21:40:10+00:00,"RT @markbspiegel: ""Trump eyes tariffs as solution to oil glut""    WHEN ALL ELSE FAILS, RAISE UNEMPLOYED AMERICANS' G…"
@Fxhedgers,2020-04-08 21:31:02+00:00,"SAUDI VICE DEFENCE MINISTER SAYS KINGDOM FULLY SUPPORTS U.N. CALLS FOR DE-ESCALATION, CONFIDENCE BUILDING MEASURES AND RESUMPTION OF POLITICAL TALKS BETWEEN YEMENI PARTIES lol"
@Fxhedgers,2020-04-08 21:30:25+00:00,YEMEN'S HOUTHIS TARGET RESIDENTIAL AREAS IN YEMEN'S PORT CITY OF HODEIDAH -SAUDI STATE TV
@Fxhedgers,2020-04-08 21:29:43+00:00,RT @CGasparino: EXCLUSIVE—
@Fxhedgers,2020-04-08 21:29:04+00:00,an overvalued slug
@Fxhedgers,2020-04-08 21:26:54+00:00,STARBUCKS U.S COMPS SALES DOWN 60-70% IN LAST WEEK IN MARCH - CNBC
@Fxhedgers,2020-04-08 21:25:26+00:00,"Trump’s new chief of staff, Mark Meadows, has escalated tensions in the White House with a swift series of staff changes "
